seed,sample_size,instruments,null_kind,positive_rate,model,roc_auc,pr_auc,brier,log_loss,accuracy,balanced_accuracy,calibration_error,baseline_roc_auc,baseline_pr_auc,baseline_brier,baseline_log_loss,brier_improvement,log_loss_improvement
802,195,5,IID,0.6,regularized_logistic,0.4537584922200307,0.5800320087531738,0.24562310359735076,0.6843865974252001,0.6,0.5,0.07495336136663977,0.5,0.6,0.2522641896045352,0.6976762746773069,0.006641086007184466,0.013289677252106724
803,195,5,IID,0.4717948717948718,regularized_logistic,0.433938370620515,0.4352664131545384,0.2506991941836197,0.6945457199091265,0.4564102564102564,0.45641620937104266,0.04859646416759715,0.5,0.4717948717948718,0.2495698241152786,0.6922867430763465,-0.0011293700683411012,-0.0022589768327799797
804,195,5,IID,0.48717948717948717,regularized_logistic,0.535578947368421,0.5117335683377955,0.2502031654465923,0.6935535600133922,0.48717948717948717,0.5,0.023092444928395295,0.5,0.48717948717948717,0.24983994718029284,0.6928270434125836,-0.00036321826629948095,-0.0007265166008085799
805,195,5,IID,0.4717948717948718,regularized_logistic,0.5568805403123681,0.5370989901762845,0.25066300686441545,0.6944733052913102,0.4717948717948718,0.5,0.04333740802793018,0.5,0.4717948717948718,0.25025017556948437,0.6936475434797102,-0.00041283129493108195,-0.0008257618115999898
806,195,5,IID,0.4717948717948718,regularized_logistic,0.4956732798649219,0.471412106164704,0.25031547648477187,0.6937781566819091,0.4717948717948718,0.5,0.033293728178284354,0.5,0.4717948717948718,0.2514335751901492,0.6960158876604668,0.001118098705377324,0.002237730978557728
807,195,5,IID,0.5230769230769231,regularized_logistic,0.4836601307189543,0.5149535449654221,0.2501923257635651,0.6935320657347112,0.5076923076923077,0.4985768500948766,0.01907921925567016,0.5,0.5230769230769231,0.25012057814462024,0.6933883388761546,-7.174761894485071e-05,-0.00014372685855656986
808,195,5,IID,0.4666666666666667,regularized_logistic,0.47601437024513954,0.44913380712760165,0.25111505852010424,0.6953780612073326,0.46153846153846156,0.4945054945054945,0.04936111548418026,0.5,0.4666666666666667,0.25041914259044246,0.6939855046446977,-0.0006959159296617834,-0.0013925565626349279
809,195,5,IID,0.5076923076923077,regularized_logistic,0.5911195286195287,0.5993164295640905,0.24945660502696654,0.6920552433783848,0.5076923076923077,0.5,0.02319927729885718,0.5,0.5076923076923077,0.249968003446591,0.6930831869790055,0.0005113984196244703,0.001027943600620751
810,195,5,IID,0.47692307692307695,regularized_logistic,0.48481973434535097,0.49356258506685635,0.2505153722108997,0.6941988452083758,0.5230769230769231,0.5,0.027172796326743187,0.5,0.47692307692307695,0.24954894842197628,0.692244891852486,-0.0009664237889234206,-0.0019539533558897704
811,195,5,IID,0.49230769230769234,regularized_logistic,0.5123106060606061,0.5225326369338298,0.2513228771789115,0.6958055545015913,0.5076923076923077,0.5,0.03737224784306198,0.5,0.49230769230769234,0.24995350254553858,0.6930541839224874,-0.0013693746333729162,-0.0027513705791039067
